FID,SAMPLEID,SOILTYPE,DEPTH_m,X_EUREF,Y_EUREF,MULTIBLE_TILL,PROFILE,PROFILE_END,SUBTILL_SORTED
20542,48105,moreeni,2,504015.8863,7479843.685,No,Profile,No,No
20543,48106,moreeni,2,504025.8809,7479743.725,No,Profile,No,No
20544,48107,moreeni,2,504025.8794,7479643.765,No,Profile,No,No
20545,48108,moreeni,1.4,504035.8741,7479553.801,No,Profile,No,No
20546,48109,moreeni,2,504035.8726,7479453.841,No,Profile,No,No
20547,48110,moreeni,2,504045.8672,7479353.881,No,Profile,No,No
20548,48111,moreeni,1.7,504045.8657,7479253.921,No,Profile,No,No
20549,48112,moreeni,2,504055.8604,7479163.957,No,Profile,No,No
20550,48113,moreeni,2,504065.8548,7479054.001,No,Profile,No,No
20551,48114,moreeni,2,501456.9265,7480343.491,No,Profile,No,No
20552,48115,moreeni,2,501436.9333,7480253.528,No,Profile,No,No
20553,48117,moreeni,1.3,501436.9304,7480053.607,No,Profile,No,No
20554,48118,moreeni,2,501436.929,7479953.647,No,Profile,No,No
20555,48119,hiekka,2,501426.9317,7479863.683,No,Profile,No,No
20556,48120,moreeni,2,501426.9303,7479763.723,No,Profile,No,No
20557,48121,moreeni,2,501426.9288,7479663.763,No,Profile,No,No
20558,48122,moreeni,2.1,501426.9275,7479573.799,No,Profile,No,No
20559,48123,moreeni,2,501426.9259,7479463.843,No,Profile,No,No
20560,48124,moreeni,2,501426.9246,7479373.879,No,Profile,No,No
20561,48125,moreeni,2,501426.923,7479263.923,No,Profile,No,No
20562,48127,hiekka,2,501426.9202,7479064.003,No,Profile,No,No
20563,48128,moreeni,1.7,501426.9187,7478964.043,No,Profile,No,No
20564,48130,moreeni,1.4,501426.9158,7478764.123,No,Profile,No,No
20565,48131,moreeni,0.8,501426.9145,7478674.159,No,Profile,No,No
20566,48132,moreeni,0.7,501426.9132,7478584.195,No,Profile,No,No
20567,48133,moreeni,0.8,501426.9119,7478494.231,No,Profile,No,No
20568,48134,moreeni,1,501426.9105,7478394.271,No,Profile,No,No
20569,48135,moreeni,1.5,501426.9092,7478304.307,No,Profile,No,No
20570,48136,moreeni,1.6,501416.9116,7478194.351,No,Profile,No,No
20571,48137,moreeni,1.2,501416.9102,7478094.391,No,Profile,No,No
20572,48138,moreeni,1.2,501416.9089,7478004.426,No,Profile,No,No
20573,48139,moreeni,1.2,501416.9076,7477914.462,No,Profile,No,No
20574,48140,moreeni,2,501416.9061,7477814.502,No,Profile,No,No
20575,48141,moreeni,1.5,501416.9047,7477714.542,No,Profile,No,No
20576,48142,moreeni,0.6,501416.9032,7477614.582,No,Profile,No,No
20577,48143,moreeni,1.2,501416.9018,7477514.622,No,Profile,No,No
20578,48144,moreeni,1.5,501426.8963,7477414.662,No,Profile,No,No
20579,48145,moreeni,1.9,501436.891,7477324.698,No,Profile,No,No
20580,48146,moreeni,2,501446.8854,7477214.742,No,Profile,No,No
20581,48147,moreeni,2,501456.8799,7477114.782,No,Profile,No,No
20582,48148,moreeni,1.4,501456.8784,7477014.822,No,Profile,No,No
20583,48149,moreeni,1.5,501466.873,7476914.862,No,Profile,No,No
20584,48150,moreeni,2,502546.4388,7477024.815,No,Profile,No,No
20585,48150,moreeni,2.6,502546.4388,7477024.815,No,Profile,No,No
20586,48151,moreeni,1.7,502526.4483,7477124.775,No,Profile,No,No
20587,48152,moreeni,1.3,502506.4578,7477224.736,No,Profile,No,No
20588,48153,moreeni,1.7,502486.4673,7477324.696,No,Profile,No,No
20589,48154,moreeni,1,502456.4809,7477424.656,No,Profile,No,No
20590,48154,moreeni,2,502456.4809,7477424.656,No,Profile,No,No
20591,48154,moreeni,2.9,502456.4809,7477424.656,No,Profile,No,No
20592,48155,moreeni,1.2,502436.4907,7477544.608,No,Profile,No,No
20593,48156,moreeni,1,502416.5002,7477644.568,No,Profile,No,No
20594,48157,moreeni,1,502396.5095,7477734.532,No,Profile,No,No
20595,48158,moreeni,1,502376.5191,7477834.492,No,Profile,No,No
20596,48158,moreeni,2,502376.5191,7477834.492,No,Profile,No,No
20597,48158,moreeni,2.6,502376.5191,7477834.492,No,Profile,No,No
20598,48159,moreeni,1,502356.5286,7477934.452,No,Profile,No,No
20599,48160,moreeni,1,502336.5381,7478034.412,No,Profile,No,No
20600,48161,moreeni,1,502306.5515,7478124.376,No,Profile,No,No
20601,48162,moreeni,1,502346.5368,7478224.336,No,Profile,No,No
20602,48162,moreeni,1.2,502346.5368,7478224.336,No,Profile,No,No
20603,48163,moreeni,1,502386.5221,7478324.296,No,Profile,No,No
20604,48164,moreeni,1,502416.5113,7478414.26,No,Profile,No,No
20605,48165,moreeni,0.9,502456.4965,7478504.224,No,Profile,No,No
20606,48224,hiekka,1.8,500007.544,7483372.286,No,Profile,No,No
20607,48225,moreeni,1.2,500027.5363,7483452.254,No,Profile,No,No
20608,48226,moreeni,1.6,500067.5208,7483552.214,No,Profile,No,No
20609,48227,moreeni,2,500097.5093,7483662.17,No,Profile,No,No
20610,48228,moreeni,2,500117.5017,7483732.142,No,Profile,No,No
20611,48229,moreeni,1.8,500147.4902,7483842.099,No,Profile,No,No
20612,48230,moreeni,1.6,500177.4786,7483922.067,No,Profile,No,No
20613,48231,moreeni,2,500207.467,7484022.027,No,Profile,No,No
20614,48232,moreeni,1.7,500237.4555,7484111.991,No,Profile,No,No
20615,48233,moreeni,4,500247.452,7484211.951,No,Profile,No,No
20616,48234,moreeni,5,500257.4485,7484311.911,No,Profile,No,No
20617,48235, ,4,500267.445,7484401.875,No,Profile,No,No
20618,48236, ,5,500277.4416,7484511.831,No,Profile,No,No
20619,48237,moreeni,2,500237.4704,7486850.9,No,Profile,No,No
20620,48238,moreeni,1.6,500287.4498,7486760.935,No,Profile,No,No
20621,48239,moreeni,2,500337.4292,7486680.967,No,Profile,No,No
20622,48240,moreeni,1.2,500387.4086,7486591.003,No,Profile,No,No
20623,48241,moreeni,1.4,500437.3881,7486511.035,No,Profile,No,No
20624,48242,moreeni,1,500487.3675,7486421.07,No,Profile,No,No
20625,48243,moreeni,2,500447.383,7486321.11,No,Profile,No,No
20626,48244,moreeni,2,500407.3986,7486231.146,No,Profile,No,No
20627,48245,moreeni,2,500387.4062,7486151.178,No,Profile,No,No
20628,48246,moreeni,1.7,500347.4217,7486041.222,No,Profile,No,No
20629,48247,moreeni,2,500317.4334,7485961.254,No,Profile,No,No
20630,48248,hiekka,3,500287.445,7485891.282,No,Profile,No,No
20631,48249,moreeni,2,500267.4527,7485821.31,No,Profile,No,No
20632,48250,moreeni,1.7,500247.4603,7485741.342,No,Profile,No,No
20633,48251,moreeni,1.8,500217.4719,7485651.378,No,Profile,No,No
20634,48252,moreeni,1.8,500177.4874,7485551.417,No,Profile,No,No
20635,48253,moreeni,2,500147.499,7485461.453,No,Profile,No,No
20636,48254,hiekka,4,500117.5106,7485371.489,No,Profile,No,No
20637,48300,moreeni,2,506754.8328,7484101.978,No,Profile,No,No
20638,48301,moreeni,1.3,506764.8293,7484201.938,No,Profile,No,No
20639,48302,moreeni,1.7,506764.8299,7484301.898,No,Profile,No,No
20640,48303,moreeni,2,506764.8304,7484401.858,No,Profile,No,No
20641,48304,moreeni,1.5,506764.8309,7484501.819,No,Profile,No,No
20642,48305,moreeni,0.6,506764.8315,7484601.779,No,Profile,No,No
20643,48306,moreeni,0.5,506764.832,7484701.739,No,Profile,No,No
20644,48307,moreeni,1.8,506764.8326,7484801.699,No,Profile,No,No
20645,48308,moreeni,1.5,506764.8331,7484901.659,No,Profile,No,No
20646,48309,moreeni,1.4,506764.8337,7485001.62,No,Profile,No,No
20647,48310,moreeni,2,506764.8342,7485101.58,No,Profile,No,No
20648,48311,moreeni,1.4,506764.8348,7485201.54,No,Profile,No,No
20649,48312,moreeni,1.6,506764.8353,7485301.5,No,Profile,No,No
20650,48313,moreeni,1.7,506774.8318,7485401.46,No,Profile,No,No
20651,48314,moreeni,1.4,506774.8324,7485501.42,No,Profile,No,No
20652,48315,moreeni,1.2,506784.8289,7485601.381,No,Profile,No,No
20653,48316,moreeni,1.5,506784.8294,7485701.341,No,Profile,No,No
20654,48317,moreeni,2,506794.826,7485801.301,No,Profile,No,No
20655,48318,moreeni,2,506794.8265,7485901.261,No,Profile,No,No
20656,48319,moreeni,3.2,506794.827,7486001.221,No,Profile,No,No
20657,48320,moreeni,4,506804.8236,7486101.181,No,Profile,No,No
20658,48321,moreeni,5,506804.8241,7486201.142,No,Profile,No,No
20659,48322,moreeni,4.6,506814.8206,7486301.102,No,Profile,No,No
20660,48323,moreeni,5,506824.8172,7486401.062,No,Profile,No,No
20661,48324,moreeni,3,506824.8177,7486501.022,No,Profile,No,No
20662,48325,moreeni,3,506824.8182,7486600.982,No,Profile,No,No
20663,48326,moreeni,3,506834.8148,7486700.942,No,Profile,No,No
20664,48327,moreeni,3,506844.8113,7486800.903,No,Profile,No,No
20665,48328,moreeni,2,506984.7352,7483162.352,No,Profile,No,No
20666,48329,moreeni,2,506924.7589,7483082.384,No,Profile,No,No
20667,48330,hiekka,2,506904.7659,7483002.416,No,Profile,No,No
20668,48331,moreeni,2,506944.7483,7482902.456,No,Profile,No,No
20669,48332,moreeni,2,507004.7229,7482822.487,No,Profile,No,No
20670,48333,moreeni,1.1,507054.7016,7482742.519,No,Profile,No,No
20671,48334,moreeni,1.1,507024.7124,7482652.555,No,Profile,No,No
20672,48335,moreeni,1.5,507004.7191,7482562.591,No,Profile,No,No
20673,48336,moreeni,1.8,506974.7298,7482462.631,No,Profile,No,No
20674,48337,moreeni,1.8,506944.7406,7482372.667,No,Profile,No,No
20675,48338,hiekka,5,506934.7432,7482272.707,No,Profile,No,No
20676,48339,moreeni,2,506924.7458,7482172.747,No,Profile,No,No
20677,48340,moreeni,1.1,506924.7443,7482072.787,No,Profile,No,No
20678,48341,moreeni,1.3,506914.7469,7481972.827,No,Profile,No,No
20679,48342,moreeni,1.4,506914.7453,7481862.871,No,Profile,No,No
