FID,SAMPLEID,SOILTYPE,DEPTH_m,X,Y
24395,22381,0,5.8,507304.7804,7516319.19
24396,22382,0,6,507264.797,7516419.151
24397,22383,0,4,507224.8135,7516519.112
24398,22384,0,2,507184.83,7516599.08
24399,22384,0,3,507184.83,7516599.08
24400,22384,0,4,507184.83,7516599.08
24401,22384,0,6,507184.83,7516599.08
24402,22384,0,7,507184.83,7516599.08
24403,22384,0,8,507184.83,7516599.08
24404,22384,0,8.7,507184.83,7516599.08
24405,22385,0,2,507124.8547,7516729.029
24406,22386,0,2,509803.7669,7514499.894
24407,22387,0,2,509743.7913,7514569.866
24408,22388,0,1.4,509683.8158,7514639.839
24409,22389,0,1.5,509623.8403,7514719.808
24410,22390,0,1.7,509563.8648,7514799.777
24411,22391,0,2,509493.8933,7514879.746
24412,22392,0,1.5,509433.9178,7514959.714
24413,22393,0,2,509373.9423,7515039.683
24414,22394,0,2,509303.9708,7515119.652
24415,22395,0,2,509243.9953,7515189.625
24416,22396,0,1.6,509184.0198,7515259.597
24417,22397,0,1.6,509084.0604,7515349.563
24418,22398,0,1.3,509054.0728,7515419.535
24419,22399,0,1.5,508984.1013,7515499.504
24420,22400,0,1.6,508914.1299,7515589.469
24421,22401,0,1.3,508844.1584,7515669.438
24422,22402,0,2,508784.1829,7515749.406
24423,22403,0,2.7,508714.2114,7515829.375
24424,22404,0,2.5,508644.2399,7515909.344
24425,22405,0,2.6,508594.2604,7515979.317
24426,22406,0,2.8,508524.2889,7516059.286
24427,22407,0,2.5,508464.3134,7516139.255
24428,22408,0,2.5,508404.3379,7516219.223
24429,22409,0,3,508354.3583,7516279.2
24430,22410,0,3.8,508284.3868,7516359.169
24431,22411,0,3.5,508214.4154,7516449.134
24432,22412,0,2.3,508144.4439,7516539.099
24433,22413,0,2.8,508084.4684,7516609.071
24434,22414,0,2,508024.4929,7516699.036
24435,22415,0,2.2,507964.5174,7516769.009
24436,11851,0,0.4,510223.4768,7491419.054
24437,11852,0,1.3,510223.4768,7491419.054
24438,11854,0,0.3,510283.4522,7491329.09
